Metric	Value
GSM	GSM2627919
SRA_Run	SRR5560723
FASTQ_MD5	1aa1fd55922c515c58dd6c59bed67ae4
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	7a6796d59f5a1b353e94aeaba1a127ab2599078c452938f681897d7c81189608
Processed_fragments	31839271
Mapped_fragments	26536089
Percent_mapped	83.34389628456003
Decoy_fragments	3924414
Equivalence_classes	69707
Transcript_targets	56910
Nonzero_TPM_transcripts	33601
TPM_sum	1000000.000035
Estimated_transcript_counts_sum	26536088.965
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
