Metric	Value
GSM	GSM2627888
SRA_Run	SRR5560692
FASTQ_MD5	57f02e44a828f9eff3042a7d7e96af60
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	596a5a6159f06d8aec03f8e2807e6a809d6a2f5612b4ed674153a1ffb461b3d9
Processed_fragments	37739945
Mapped_fragments	31556723
Percent_mapped	83.61624003426607
Decoy_fragments	4378033
Equivalence_classes	77518
Transcript_targets	56910
Nonzero_TPM_transcripts	35573
TPM_sum	1000000.000005
Estimated_transcript_counts_sum	31556723.029
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
