Metric	Value
GSM	GSM2627692
SRA_Run	SRR5560507
Compressed_Bytes	2281969955
MD5	4d78e9f04f24ca197015029e1c073eee
FASTQ_Records	29764299
Expected_ENA_Read_Count	29764299
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	95
Quality_probe_read_length_max	95
Quality_probe_read_length_mean	95.0000
Quality_probe_Q20_fraction	0.979769
Quality_probe_Q30_fraction	0.951563
Quality_probe_N_fraction	0.000155
GZIP_CRC	PASS
