GSM	Cultivar	Stage	Year	Replicate	SRA_Experiment	SRA_Run	ENA_BioSample	ENA_Secondary_Sample	Library_Layout	FASTQ_URLs	FASTQ_Bytes	FASTQ_MD5	FASTQ_Total_Bytes	Read_Count	Base_Count
GSM2627785	Cabernet Sauvignon	FruitSet	2014	2	SRX2823694	SRR5560589	SAMN07124235	SRS2200293	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560589/SRR5560589.fastq.gz	4569330997	521f3ccf8510a6e1ead7ae1a189227b6	4569330997	51596842	5211281042
GSM2627786	Cabernet Sauvignon	FruitSet	2014	3	SRX2823695	SRR5560590	SAMN07124234	SRS2200294	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560590/SRR5560590.fastq.gz	4255543707	3c40a7fa9617a480b6c0ee696a04794a	4255543707	47487319	4748731900
GSM2627793	Cabernet Sauvignon	Veraison	2014	1	SRX2823702	SRR5560597	SAMN07124227	SRS2200300	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560597/SRR5560597.fastq.gz	2804794306	437c6c967ed91a2ea0547d8be44ef611	2804794306	32276350	3259911350
GSM2627794	Cabernet Sauvignon	Veraison	2014	2	SRX2823703	SRR5560598	SAMN07124226	SRS2200302	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560598/SRR5560598.fastq.gz	3032506539	6505c73c046eee90fd0941ddfeebe1e3	3032506539	34091860	3409186000
GSM2627795	Cabernet Sauvignon	Veraison	2014	3	SRX2823704	SRR5560599	SAMN07124329	SRS2200303	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560599/SRR5560599.fastq.gz	3171417019	a96a3c4967dc24b1b72c7ea3c45cc1f5	3171417019	36601916	3696793516
GSM2627820	Cabernet Sauvignon	Harvest	2014	1	SRX2823729	SRR5560624	SAMN07124187	SRS2200330	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/004/SRR5560624/SRR5560624.fastq.gz	4308095519	1ce814dda6dcaf69d1750caf763e7636	4308095519	49033626	4903362600
GSM2627821	Cabernet Sauvignon	Harvest	2014	2	SRX2823730	SRR5560625	SAMN07124186	SRS2200329	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/005/SRR5560625/SRR5560625.fastq.gz	2975549047	90a852662cb6221d3883614772da1e4b	2975549047	34034563	3403456300
GSM2627822	Cabernet Sauvignon	Harvest	2014	3	SRX2823731	SRR5560626	SAMN07124185	SRS2200331	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560626/SRR5560626.fastq.gz	1871506391	bf47c45ed4f60c508a36dcc285a37abb	1871506391	21359051	2135905100
GSM2627823	Pinot noir	FruitSet	2012	1	SRX2823732	SRR5560627	SAMN07124184	SRS2200336	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560627/SRR5560627.fastq.gz	2427569571	85e0ad83e9fd699c6666329fa0ffd1ae	2427569571	29088167	2792464032
GSM2627824	Pinot noir	FruitSet	2012	2	SRX2823733	SRR5560628	SAMN07124183	SRS2200334	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560628/SRR5560628.fastq.gz	2261588346	c66497514faf55180f5df4da2ab70e32	2261588346	25573908	2455095168
