Metric	Value
GSM	GSM2627782
SRA_Run	SRR5560586
FASTQ_MD5	2084cbe279239153636c2927b23ccd0e
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	dc163e00fae8316116826a32eccf8504d1ab51143260eb0de1f749b0e98a7b74
Processed_fragments	41605665
Mapped_fragments	32944289
Percent_mapped	79.1822195366905
Decoy_fragments	4766001
Equivalence_classes	79472
Transcript_targets	56910
Nonzero_TPM_transcripts	35707
TPM_sum	1000000.000048
Estimated_transcript_counts_sum	32944288.962
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
