Metric	Value
GSM	GSM2627836
SRA_Run	SRR5560640
FASTQ_MD5	93ce10a61d8922a60f3d099adc588493
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	5e110eb692b680938863c650eeb94634db9f3f580a9511517b43763010578959
Processed_fragments	31953495
Mapped_fragments	27093723
Percent_mapped	84.79110970490082
Decoy_fragments	3285334
Equivalence_classes	67233
Transcript_targets	56910
Nonzero_TPM_transcripts	32088
TPM_sum	1000000.000073
Estimated_transcript_counts_sum	27093722.972
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
