Metric	Value
GSM	GSM2627743
SRA_Run	SRR5560546
FASTQ_MD5	3acf17deeb91f8188fb5c6a128402857
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	1d152f107a60ba1adc986df11c669b803fa02eec43b34b4aecef58770b52407a
Processed_fragments	26385793
Mapped_fragments	22560144
Percent_mapped	85.50110280937928
Decoy_fragments	2264931
Equivalence_classes	73369
Transcript_targets	56910
Nonzero_TPM_transcripts	34570
TPM_sum	1000000.000089
Estimated_transcript_counts_sum	22560143.978
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
