Metric	Value
GSM	GSM2627887
SRA_Run	SRR5560691
Compressed_Bytes	3249073331
MD5	cf7c2661f79fb903bf91cb035d757ad9
FASTQ_Records	36124049
Expected_ENA_Read_Count	36124049
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	100
Quality_probe_read_length_max	100
Quality_probe_read_length_mean	100.0000
Quality_probe_Q20_fraction	0.972347
Quality_probe_Q30_fraction	0.922578
Quality_probe_N_fraction	0.000093
GZIP_CRC	PASS
