Metric	Value
GSM	GSM2627885
SRA_Run	SRR5560689
Compressed_Bytes	1901894006
MD5	ec3d33fd727a8933eb9cdca656a6e212
FASTQ_Records	23477703
Expected_ENA_Read_Count	23477703
First_10000_records_structure	PASS
Quality_probe_records	10000
Quality_probe_scope	first_reads_only_not_random
Quality_probe_read_length_min	101
Quality_probe_read_length_max	101
Quality_probe_read_length_mean	101.0000
Quality_probe_Q20_fraction	0.983695
Quality_probe_Q30_fraction	0.955203
Quality_probe_N_fraction	0.000015
GZIP_CRC	PASS
