"File"	"URL"	"SHA256"	"Entry"	"Bytes"
"legacy_function.zip"	"https://grapedia.org/wp-content/uploads/2024/07/v3_on_12Xv2_functional_annotation_summary.zip"	"d9bf3ce0654974ec8e47406523a73e12759aaad2f2d0b1d982d1de8d54de4061"	"v3_on_12Xv2_functional_annotation_summary.tsv"	10697924
"t2t_function.zip"	"https://grapedia.org/wp-content/uploads/2024/07/5.1_on_T2T_ref_functional_annotation_summary_with_coordinates.zip"	"53e831878b5288cf0cda5ad78a9bac0402920ae2a000fdc645c8d29a18b00f71"	"5.1_on_T2T_ref_functional_annotation_summary_with_coordinates.tsv"	11177371
