Module	SampleName	Cultivar	Stage	Year	Eigengene	Fitted	Residual	Standardized_residual	Cooks_D	Leverage	Abs_standardized_residual_over_3	Cooks_D_over_4_per_N
M1	GSM2627691	Cabernet Sauvignon	FruitSet	2012	50.9298737701087	45.6549201198783	5.27495365023044	1.16005618837375	0.0292550078300919	0.148148148148148	FALSE	FALSE
M1	GSM2627692	Cabernet Sauvignon	FruitSet	2012	49.2291775378173	45.6549201198782	3.5742574179391	0.786042818848255	0.0134318111535416	0.148148148148149	FALSE	FALSE
M1	GSM2627693	Cabernet Sauvignon	FruitSet	2012	47.5383479076594	45.654920119878	1.8834277877814	0.414199290732239	0.00372958809658893	0.148148148148149	FALSE	FALSE
M1	GSM2627709	Cabernet Sauvignon	Veraison	2012	2.92712672623832	8.92528356672562	-5.9981568404873	-1.31910144107895	0.0378267089534033	0.148148148148148	FALSE	FALSE
M1	GSM2627711	Cabernet Sauvignon	Veraison	2012	4.25874914066196	8.92528356672593	-4.66653442606397	-1.02625397267294	0.0228955916614565	0.148148148148148	FALSE	FALSE
M1	GSM2627713	Cabernet Sauvignon	Veraison	2012	7.30654476927759	8.92528356672593	-1.61873879744834	-0.355989470970724	0.00275496746613079	0.148148148148148	FALSE	FALSE
M1	GSM2627739	Cabernet Sauvignon	Harvest	2012	-52.7720231044586	-53.1971556535653	0.425132549106659	0.0934942138209576	0.00019002539169563	0.148148148148148	FALSE	FALSE
M1	GSM2627740	Cabernet Sauvignon	Harvest	2012	-51.5601204958878	-53.1971556535653	1.63703515767745	0.360013166213538	0.00281759738798035	0.148148148148148	FALSE	FALSE
M1	GSM2627741	Cabernet Sauvignon	Harvest	2012	-58.6794713548508	-53.1971556535653	-5.48231570128554	-1.20565879391509	0.0316002853770607	0.148148148148148	FALSE	FALSE
M1	GSM2627742	Cabernet Sauvignon	FruitSet	2013	46.5374055138623	42.709130751169	3.82827476269328	0.841905753818967	0.0154088108329018	0.148148148148148	FALSE	FALSE
M1	GSM2627743	Cabernet Sauvignon	FruitSet	2013	48.0491358812133	42.709130751169	5.34000513004427	1.17436216653483	0.029981010830182	0.148148148148148	FALSE	FALSE
M1	GSM2627744	Cabernet Sauvignon	FruitSet	2013	47.6609771696063	42.709130751169	4.95184641843727	1.08899915761982	0.0257808514194928	0.148148148148148	FALSE	FALSE
M1	GSM2627754	Cabernet Sauvignon	Veraison	2013	10.5344623245978	5.97949419801681	4.55496812658099	1.00171855782176	0.0218139145453152	0.148148148148148	FALSE	FALSE
M1	GSM2627755	Cabernet Sauvignon	Veraison	2013	1.49548502300764	5.97949419801681	-4.48400917500917	-0.986113421483203	0.0211395582615067	0.148148148148148	FALSE	FALSE
M1	GSM2627756	Cabernet Sauvignon	Veraison	2013	-2.47087477013405	5.97949419801681	-8.45036896815086	-1.85838653105827	0.0750782717134516	0.148148148148148	FALSE	TRUE
M1	GSM2627781	Cabernet Sauvignon	Harvest	2013	-55.9236494614753	-56.1429450222744	0.219295560799072	0.0482269967200075	5.05618089702524e-05	0.148148148148148	FALSE	FALSE
M1	GSM2627782	Cabernet Sauvignon	Harvest	2013	-56.3210957966677	-56.1429450222744	-0.178150774393327	-0.0391785259173843	3.33686281099815e-05	0.148148148148148	FALSE	FALSE
M1	GSM2627783	Cabernet Sauvignon	Harvest	2013	-56.5034851868569	-56.1429450222744	-0.360540164582527	-0.0792891988848052	0.000136669066517265	0.148148148148148	FALSE	FALSE
M1	GSM2627784	Cabernet Sauvignon	FruitSet	2014	40.7659820014517	48.9428902572053	-8.17690825575363	-1.79824765350061	0.0702977092026186	0.148148148148148	FALSE	FALSE
M1	GSM2627785	Cabernet Sauvignon	FruitSet	2014	40.7517235622118	48.9428902572053	-8.19116669499352	-1.80138333805323	0.0705430854481693	0.148148148148148	FALSE	FALSE
M1	GSM2627786	Cabernet Sauvignon	FruitSet	2014	40.4582000408267	48.9428902572053	-8.48469021637862	-1.86593438437402	0.0756893723215052	0.148148148148148	FALSE	TRUE
M1	GSM2627793	Cabernet Sauvignon	Veraison	2014	23.7969780616052	12.2132537040531	11.5837243575521	2.54746714690222	0.141078018794482	0.148148148148148	FALSE	TRUE
M1	GSM2627794	Cabernet Sauvignon	Veraison	2014	15.9293487879597	12.2132537040531	3.71609508390659	0.817235445942312	0.0145189950892289	0.148148148148148	FALSE	FALSE
M1	GSM2627795	Cabernet Sauvignon	Veraison	2014	17.5762743431731	12.2132537040531	5.36302063911999	1.17942368659779	0.0302400050545203	0.148148148148148	FALSE	FALSE
M1	GSM2627820	Cabernet Sauvignon	Harvest	2014	-47.8136885025541	-49.9091855162381	2.09549701368397	0.460837087798221	0.00461675698892056	0.148148148148148	FALSE	FALSE
M1	GSM2627821	Cabernet Sauvignon	Harvest	2014	-48.360786201652	-49.9091855162381	1.54839931458607	0.340520566826359	0.00252074470503793	0.148148148148148	FALSE	FALSE
M1	GSM2627822	Cabernet Sauvignon	Harvest	2014	-49.8135384718299	-49.9091855162381	0.095647044408167	0.0210344873381978	9.61847081697403e-06	0.148148148148148	FALSE	FALSE
M1	GSM2627823	Pinot noir	FruitSet	2012	45.7020545655472	42.0337561744002	3.66829839114703	0.80672410254556	0.014147908209303	0.148148148148148	FALSE	FALSE
M1	GSM2627824	Pinot noir	FruitSet	2012	49.5323804839967	42.0337561744002	7.49862430959653	1.64908094202065	0.0591188685507763	0.148148148148148	FALSE	FALSE
M1	GSM2627825	Pinot noir	FruitSet	2012	45.0479995676859	42.0337561744002	3.01424339328573	0.662885768009173	0.00955255524845895	0.148148148148148	FALSE	FALSE
M1	GSM2627835	Pinot noir	Veraison	2012	0.715988219987431	4.71200541166506	-3.99601719167763	-0.878795299338983	0.0167887212639194	0.148148148148148	FALSE	FALSE
M1	GSM2627836	Pinot noir	Veraison	2012	5.01717931951452	4.71200541166507	0.305173907849455	0.0671131736513921	9.79169147296068e-05	0.148148148148148	FALSE	FALSE
M1	GSM2627837	Pinot noir	Veraison	2012	-5.9370200134553	4.71200541166507	-10.6490254251204	-2.34191021640931	0.119229205689615	0.148148148148148	FALSE	TRUE
M1	GSM2627850	Pinot noir	Harvest	2012	-45.4742480975716	-48.8131711563401	3.33892305876848	0.73428860491674	0.0117212990284907	0.148148148148148	FALSE	FALSE
