"modules"	"GSM2627691"	"GSM2627692"	"GSM2627693"	"GSM2627709"	"GSM2627711"	"GSM2627713"	"GSM2627739"	"GSM2627740"	"GSM2627741"	"GSM2627742"	"GSM2627743"	"GSM2627744"	"GSM2627754"	"GSM2627755"	"GSM2627756"	"GSM2627781"	"GSM2627782"	"GSM2627783"	"GSM2627784"	"GSM2627785"	"GSM2627786"	"GSM2627793"	"GSM2627794"	"GSM2627795"	"GSM2627820"	"GSM2627821"	"GSM2627822"	"GSM2627823"	"GSM2627824"	"GSM2627825"	"GSM2627835"	"GSM2627836"	"GSM2627837"	"GSM2627850"	"GSM2627851"	"GSM2627852"	"GSM2627853"	"GSM2627854"	"GSM2627855"	"GSM2627862"	"GSM2627863"	"GSM2627864"	"GSM2627883"	"GSM2627884"	"GSM2627885"	"GSM2627886"	"GSM2627887"	"GSM2627888"	"GSM2627895"	"GSM2627896"	"GSM2627897"	"GSM2627919"	"GSM2627920"	"GSM2627921"
"M1"	0.174292575451243	0.170402980560723	0.162191000975834	0.0106929189316575	0.0151499854466526	0.0264481332344985	-0.182192648569492	-0.176936118334095	-0.202626973759183	0.162438817148363	0.166373569576788	0.166969767169371	0.0366729575108078	0.00447062575746164	-0.00866349904602528	-0.19318950689992	-0.19461044744897	-0.195455826031436	0.142209944683803	0.142054993286013	0.141449610668836	0.0835280981474088	0.0556143079707904	0.0615003992622467	-0.164417985223883	-0.166339931421393	-0.171043325466588	0.152235694816442	0.168879504730368	0.149991150589585	0.00277042206768775	0.0177198102776306	-0.0204097410602167	-0.156239332044838	-0.158318752335774	-0.171818471685673	0.136278518524568	0.124070697140831	0.12985176503097	0.00966302676798403	0.000498087864372181	0.0108511422862436	-0.183453547184994	-0.175307019521808	-0.187341222608353	0.141027397133007	0.153692940896049	0.140247116538001	0.0590982579121097	0.0365797705246256	0.0383307651059978	-0.15845678174465	-0.167514480543265	-0.159911143058409
"M2"	-0.122756101309162	-0.11728313718957	-0.133087443149635	-0.1674415895954	-0.164931896134954	-0.15472188427356	-0.155160749519221	-0.154407533711132	-0.156405687167391	-0.128698452006363	-0.137006161385752	-0.133152361119146	-0.159825372506225	-0.167959952763007	-0.163363112280917	-0.158848838345634	-0.154583821358613	-0.151961936455411	0.144871381910849	0.145900634682571	0.125007689945496	-0.157307039163375	-0.164380421298087	-0.155605515203764	-0.153308656628823	-0.157657410682987	-0.154669196999551	0.13352037013587	0.132871741194566	0.128979894689585	0.118663645129164	0.127226374551135	0.121637212633224	0.0997152372580111	0.1031166150542	0.0951346921106041	0.142752490374914	0.132385793692963	0.142373460282632	0.125265391441416	0.11615692186082	0.127018363233664	0.0879211349990247	0.0921857913666378	0.0856374981839656	0.139005565933052	0.146831559072008	0.1234377644346	0.131160945230561	0.124608433462233	0.13278891449506	0.0997365499842144	0.0992174754111994	0.0993947274934409
"M3"	0.12410556883832	0.124249654375647	0.1140959186191	0.114076536892547	0.112365996265454	0.104237246851069	0.110270941016324	0.104589711830498	0.104747420444141	0.105605448220212	0.105920652307189	0.102478262039519	0.105237547011303	0.100899755170887	0.104605244936536	-0.164274254284854	-0.171064931761993	-0.17010996950208	-0.176466129322164	-0.174392916419379	-0.172399258474048	-0.16831850904755	-0.17126774217246	-0.171934504911099	-0.171622386664612	-0.172540125866939	-0.169333657831423	0.126639707652748	0.116253050302954	0.116600231344967	0.111601802471757	0.112071821117834	0.127199687462993	0.105200334893537	0.104723143537877	0.101723969388699	0.0959926698158874	0.0965483915649184	0.095062884298228	0.109673627330078	0.10686127900083	0.105869238482895	0.0961894286811801	0.107039356947624	0.105088062010577	-0.175133041409056	-0.173724419418339	-0.171119904930355	-0.169557549692924	-0.1652916958798	-0.167074593279374	-0.169353806839143	-0.16412963266697	-0.168715560749768
"M4"	-0.0690105591921082	0.0458401961564986	-0.0649072879320848	-0.105978605950003	-0.097950481080444	-0.107305877229351	-0.046154363308006	-0.0662095751924304	-0.0041500202839278	-0.0503301123323212	-0.0274252115517074	-0.00873227961923095	-0.0735846168949689	-0.0971024249844241	-0.0729993724377624	-0.0183310400287199	-0.0047412972875363	-0.0260101900329135	-0.0880476065053878	-0.0927311187189869	-0.0877380254109025	-0.0858884262242078	-0.0999636370622899	-0.0902769692464107	-0.0595734286908072	-0.0539428823782415	-0.0505740508056825	0.00940143427037894	-0.0536286923609928	-0.0514692948114408	-0.0685795811754392	-0.077202253641646	0.0521924490009593	0.329745931312322	0.349258750618096	0.327073146086165	-0.0573089598894464	-0.0667819815366633	-0.0562099253172952	-0.0763802359682663	-0.0589161324260503	-0.0589742130947584	0.271816279052397	0.297398741898048	0.307279749439409	-0.0946691585108496	-0.0851195922504683	-0.0902309642159085	-0.0679570758979154	-0.0658297798252261	-0.0686593740532352	0.235905266043255	0.26498247925886	0.25668225222007
"M5"	-0.063232428478348	-0.0699741834799891	-0.0788192370736552	0.210892275375454	0.20244594871156	0.202674772012497	-0.125807891420554	-0.103553391324829	-0.176396058223843	-0.00456042281142501	-0.0137842812929319	0.0117585105353556	0.188210233406643	0.20633461639149	0.211780915680889	-0.15488301789867	-0.177584137951339	-0.186442476572553	-0.0603725637814859	-0.0525672458195115	-0.0455984910113704	0.146743002429877	0.158898895454915	0.169147247747611	-0.0939117251344192	-0.0983585284162926	-0.124853422527812	-0.105082818755986	-0.0637164023248071	-0.106786266037692	0.201111225374829	0.191846488367662	0.177050326378151	-0.0784626743473632	-0.0873243257913042	-0.123307817199079	-0.0227736892573477	-0.0353499428946109	-0.044037770911422	0.186378379114956	0.19839419004151	0.188501941189217	-0.163680193598471	-0.134889566577313	-0.171190213782894	-0.0659594127830481	-0.0326333184374614	-0.0505064865515193	0.133119762172633	0.150242381444332	0.151581589505473	-0.112996785995154	-0.141298561052903	-0.116416951817649
"M6"	0.358663408015151	0.385255338089562	0.435581388780378	-0.0859245121838193	-0.0498470159153201	-0.0324142290893971	-0.0534770861294332	-0.0626072164886878	-0.0708461416767763	-0.0275639903240865	-0.0143827612508817	-0.0249400206095354	-0.0971640986855656	-0.0952953091805802	-0.103632501268427	-0.0482819598660225	-0.0250992432028803	-0.0251288583240062	-0.0642278077152005	-0.0601144068038859	-0.0350513572623638	-0.0968916786650205	-0.0949046396031675	-0.0804068696206647	-0.01986459322294	-0.0420088143386358	-0.0494436033473439	0.367725401698875	0.290254614410893	0.399822141152268	-0.0400504806832524	-0.0496286575969509	-0.0635040813326844	-0.0605846771680972	-0.0468917177165668	-0.0394641621613465	-0.0147000511163609	-0.0152028353947363	-0.0105173418645096	-0.0709876285724511	0.00371835637686439	-0.0535592880436076	-0.00872922222596955	-0.0226345080002576	-0.0181304834558823	-0.0179580410670885	-0.0290620547733834	-0.0257904399159326	-0.108124302274966	-0.0939637348687843	-0.103533995382979	0.0166064290652887	-0.00411248596420099	-0.000978173234631785
"M7"	-0.173991988398555	-0.175796336473886	-0.173560543935005	0.155735250203157	0.156949960025314	0.137907974622292	-0.0304990741504761	0.0228228784471664	-0.0802862107900908	-0.145584863755215	-0.168697408470582	-0.119976772002107	0.147157880909343	0.173103538299537	0.179309245335489	-0.0366222611973677	-0.0679332306224067	-0.0824958219407407	-0.176248622100474	-0.170878329716193	-0.166008711539889	0.064182507572182	0.0931684185577239	0.0966333031247043	0.0118086575591902	0.0066852332607939	-0.01473863912179	-0.187277907153182	-0.134143618462104	-0.196560905977366	0.209567665947282	0.192008793744967	0.203854544484617	0.0865690095085373	0.0767136482402728	0.0603316423875021	-0.13985944582001	-0.132040378044492	-0.150558210358512	0.202215903357576	0.216918600238321	0.194620202648601	-0.000108091188979852	0.0315660714427369	-0.00539588303734036	-0.182348238162555	-0.156686761402955	-0.168878777175575	0.105925716408699	0.143188761509	0.144425336956481	0.0476125870566463	0.0257573308862157	0.050436368263502
"M8"	-0.0683240582202861	-0.0728362161621313	-0.0616102939199838	-0.0936099918616691	-0.0901148309909308	-0.0867790135812915	-0.0590296418714883	-0.0798342885721223	-0.0456322970417612	0.448097448720915	0.00181019519869863	-0.0161918215746428	-0.0745263501644448	-0.0875603167777238	-0.0291046452518354	0.0068632576013385	-0.0189864405131169	0.0305414595293279	0.0190132147577785	0.0411538170534684	-0.00207319402384302	-0.030699363178135	0.263526087820477	0.324262571749398	0.0272998049318865	-0.0664309614531797	0.0803593930976244	-0.0640133774427452	-0.0740008476905883	-0.0619215160769442	-0.0780544213471174	-0.0979816918351544	-0.087849568173026	-0.0612137709687819	-0.0773044277956693	-0.0673895028444004	0.282161159012577	0.580153346041816	-0.0704503428423923	-0.0870239604984217	-0.079777023859866	-0.0897176440802592	-0.00119514534237796	0.00314011195107227	-0.0600127852896735	0.0203429256266074	0.0560681709759159	-0.00432928352190614	-0.0788207011296627	0.147894294793108	-0.00351431110035236	-0.0778079799873169	-0.0804279257562297	-0.0465373061205378
"Not.Correlated"	-0.11789522294151	-0.0692058425091808	-0.144743296048599	-0.0543127215128128	-0.129463113361195	0.407006415499243	-0.073501048966074	-0.0346623768535272	-0.0981644741826864	-0.00537917800696638	0.00816300621944874	-0.00598894506956264	-0.0475445595203438	-0.0217179550132124	-0.12603217523203	0.00665630926657756	-0.0539084214277181	0.0216956616430042	-0.0440013927677309	0.0450722457869264	-0.0212222191467433	-0.0548667094116895	0.188641875261435	-0.116280274294143	-0.0816024330709092	-0.0378144625130888	-0.0430054174416933	0.0646306031015676	0.551416411963218	0.168579728995248	-0.0481116559314239	0.183747449427396	-0.0282213490035383	0.270123749794497	-0.0959338880884993	-0.0697195710868873	0.0925457069542079	-0.0084215675088886	0.234218488114723	-0.0411423806543803	-0.148133474099649	-0.0690903401643327	-0.0868949901818611	-0.0762502705661487	-0.0722039353505497	-0.0854606655974386	-0.0967863483903884	-0.161536511683572	-0.0789080952971391	-0.0399669934889677	0.0703263414691951	0.19206999428593	0.0814938064951886	0.00170648210727643
