GeneID	GSM2627691	GSM2627692	GSM2627693	GSM2627709	GSM2627711	GSM2627713	GSM2627739	GSM2627740	GSM2627741	GSM2627742	GSM2627743	GSM2627744	GSM2627754	GSM2627755	GSM2627756	GSM2627781	GSM2627782	GSM2627783	GSM2627784	GSM2627785	GSM2627786	GSM2627793	GSM2627794	GSM2627795	GSM2627820	GSM2627821	GSM2627822	GSM2627823	GSM2627824	GSM2627825	GSM2627835	GSM2627836	GSM2627837	GSM2627850	GSM2627851	GSM2627852	GSM2627853	GSM2627854	GSM2627855	GSM2627862	GSM2627863	GSM2627864	GSM2627883	GSM2627884	GSM2627885	GSM2627886	GSM2627887	GSM2627888	GSM2627895	GSM2627896	GSM2627897	GSM2627919	GSM2627920	GSM2627921
VIT_03s0091g01030	20.5507	17.0967	17.8837	16.7513	13.8803	14.1845	20.8856	20.6741	26.7285	18.3105	17.0289	16.8376	14.2531	14.6443	13.6651	21.0577	22.598	21.7985	14.5479	12.9707	14.5869	16.8161	16.9912	16.0898	21.5771	20.0848	21.7922	19.3094	20.1777	18.7698	14.5972	18.9904	15.9397	17.6521	19.2954	19.0512	16.6446	18.2717	17.8392	14.1445	14.5115	15.7904	22.3819	19.7647	20.7757	13.079	16.4701	13.8355	14.9453	14.9502	17.0282	17.5891	18.0093	16.8058
VIT_03s0091g01040	802.042	632.595	491.643	396.888	382.605	373.637	587.42	521.557	611.577	416.77	437.397	460.498	417.295	412.299	456.389	639.366	768.007	699.596	511.714	526.468	476.928	346.059	369.697	362.429	507.474	508.317	543.792	779.501	687.146	651.347	674.479	682.741	723.282	559.61	605.997	517.846	595.365	509.316	551.426	486.079	676.512	622.953	713.466	576.471	732.493	498.355	893.292	435.824	640.741	604.43	545.568	529.417	549.083	541.769
VIT_03s0091g01050	5.79619	6.6366	6.69554	4.75407	4.21422	4.43722	1.71618	0.838914	0.933559	10.2455	5.24801	7.49683	4.51982	4.09002	3.65285	1.44408	1.30918	1.25502	9.37178	9.28844	9.50902	5.60772	10.3451	9.86831	1.4064	1.81361	2.00823	8.0904	6.54862	7.62826	6.09324	4.7166	6.71034	1.82704	3.12079	1.8397	12.4715	14.1329	5.66367	6.62741	6.19862	5.51114	2.50148	2.02455	2.28984	9.48137	8.81183	9.46239	8.97466	11.6493	9.6547	2.85293	2.88376	3.4221
VIT_03s0091g01060	15.5742	10.9298	9.54427	4.02031	4.66756	4.72893	2.82346	0.265473	2.80078	14.4326	12.53	14.9641	8.36678	8.4096	8.68261	2.47031	2.13925	2.91069	22.1253	28.9844	22.8279	7.2839	5.92965	7.21917	0.741641	0.455019	0.821181	8.17731	8.50736	6.46028	17.078	26.558	16.7973	2.33232	2.08427	1.51665	15.77	12.748	10.8343	13.7421	16.2779	24.7393	3.20378	1.78145	3.01045	21.5169	28.8659	20.7677	14.0899	15.8131	10.5242	1.87374	2.12141	2.21904
VIT_03s0091g01080	2.60676	1.4838	1.91891	0.0932056	0.0621944	0.0562678	0.0425861	0	0.090293	1.77717	1.67532	1.17452	0.0755453	0.0825496	0	0.0868974	0.336289	0.120812	0.414148	0.44171	0.367523	0.220516	0.0632829	0.402425	0.166941	0.102051	0.160364	1.58467	1.18982	1.47906	0	0	0	0.0794145	0.0481683	0.0624696	0.602685	0.403764	0.275202	0.0769503	0	0	0.313242	0.135685	0.216522	0.331095	0.671703	0.36473	0.187857	0.0686939	0.2102	0.0685749	0.237919	0.105591
VIT_03s0091g01090	4.06082	1.73063	1.55777	2.73324	2.41056	3.36081	0.0672767	0.0643875	0	3.07629	2.93193	2.08825	0.966411	0.9655	1.12203	0	0.0468491	0.0468241	1.13395	2.37758	2.74416	1.56555	1.30432	2.08579	0.177904	0.448221	0.1564	0.334029	0.836581	0.89654	2.18185	1.97149	1.89678	0.128009	0.0776615	0.0499096	0.488556	0.405931	0.331903	5.84407	8.30972	3.85017	0	0	0	1.29573	3.41297	2.26999	0.672127	2.51053	2.1744	0.054421	0.106622	0.0552916
VIT_03s0091g01100	0.483578	1.39811	0.337249	9.88224	5.40335	3.83809	0.344285	0.439829	0.126155	7.41799	8.4677	8.22335	6.96658	2.78233	2.58508	0.375541	0.23708	0.475385	3.12603	5.26975	5.39473	20.9603	18.3621	18.3831	0.704293	0.823908	0.260523	1.05828	1.21809	0.615797	2.63844	2.44408	1.6384	0.856406	0.524769	0.426045	5.24119	4.36437	5.81458	2.49922	2.52241	2.58297	0.510148	0.520214	0.899384	4.52643	7.64141	5.39421	8.8104	4.69556	3.62443	1.00136	0.623797	1.38735
VIT_03s0091g01110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIT_03s0091g01120	1.8288	1.28863	1.76009	0.228736	0.752785	0.321074	0.218351	0.0116024	0.0972554	1.65657	2.44708	1.38415	0.205078	0.544836	0.218373	0	0	0	0.335353	0.541484	0.435555	0.762777	0.70587	0.958204	0	0	0	3.662	4.66315	2.50216	1.00578	1.96369	0.684831	0.22589	0.467648	0.174945	2.54205	1.80201	2.23484	0.952468	0.427117	0.669801	0.0833228	0.0074744	0.0735671	0.651114	0.73992	0.211377	1.43342	1.16824	1.40023	0	0.131161	0.135933
VIT_03s0091g01130	6.15041	5.44167	4.24682	1.77154	1.21906	2.31891	0.0377479	0.108933	0	5.89588	8.33498	6.64664	3.65794	2.70775	1.42758	0	0.026463	0	5.73563	7.83925	5.78663	4.5558	4.59548	6.00129	0.0541725	0.184683	0.083598	8.46777	7.89546	7.60252	3.11675	3.8037	2.42947	0.52605	0.286542	0.0520632	5.40535	6.13196	7.21831	1.98942	2.29767	2.50387	0.127677	0.173223	0.043212	5.97258	8.02998	6.21975	5.01179	3.41845	4.32088	0.114317	0.140181	0.175538
