Module	Aspect	TermID	TermName	Background_N	Module_n	Term_background_K	Overlap_k	Expected_overlap	Fold_enrichment	Tested	Reason_if_not_tested	p_value	Hit_genes	FDR_within_module	FDR_global_module_terms
M1	molecular_function	GO:0000014	single-stranded DNA endonuclease activity	519	418	1	1	0.805394990366089	1.24162679425837	FALSE	term_background_size_outside_5_to_500	NA	VIT_00s0301g00100	NA	NA
M1	biological_process	GO:0000027	ribosomal large subunit assembly	519	418	1	1	0.805394990366089	1.24162679425837	FALSE	term_background_size_outside_5_to_500	NA	VIT_13s0019g04300	NA	NA
M1	molecular_function	GO:0000030	mannosyltransferase activity	519	418	1	1	0.805394990366089	1.24162679425837	FALSE	term_background_size_outside_5_to_500	NA	VIT_09s0018g02110	NA	NA
M1	molecular_function	GO:0000035	acyl binding	519	418	1	1	0.805394990366089	1.24162679425837	FALSE	term_background_size_outside_5_to_500	NA	VIT_01s0244g00030	NA	NA
M1	molecular_function	GO:0000036	acyl carrier activity	519	418	1	1	0.805394990366089	1.24162679425837	FALSE	term_background_size_outside_5_to_500	NA	VIT_01s0244g00030	NA	NA
M1	biological_process	GO:0000041	transition metal ion transport	519	418	10	8	8.05394990366089	0.993301435406699	TRUE		0.694765731785134	VIT_00s0267g00030;VIT_07s0104g00830;VIT_08s0058g00410;VIT_08s0058g00430;VIT_08s0058g00740;VIT_09s0070g00210;VIT_18s0001g08200;VIT_19s0085g00740	0.990900379719902	1
M1	biological_process	GO:0000045	autophagosome assembly	519	418	1	0	0.805394990366089	0	FALSE	term_background_size_outside_5_to_500	NA		NA	NA
M1	molecular_function	GO:0000062	fatty-acyl-CoA binding	519	418	1	1	0.805394990366089	1.24162679425837	FALSE	term_background_size_outside_5_to_500	NA	VIT_02s0033g01330	NA	NA
M1	molecular_function	GO:0000064	L-ornithine transmembrane transporter activity	519	418	1	1	0.805394990366089	1.24162679425837	FALSE	term_background_size_outside_5_to_500	NA	VIT_09s0002g04500	NA	NA
M1	biological_process	GO:0000075	cell cycle checkpoint signaling	519	418	1	1	0.805394990366089	1.24162679425837	FALSE	term_background_size_outside_5_to_500	NA	VIT_10s0003g00350	NA	NA
M1	biological_process	GO:0000077	DNA damage checkpoint signaling	519	418	1	1	0.805394990366089	1.24162679425837	FALSE	term_background_size_outside_5_to_500	NA	VIT_10s0003g00350	NA	NA
M1	molecular_function	GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity	519	418	1	1	0.805394990366089	1.24162679425837	FALSE	term_background_size_outside_5_to_500	NA	VIT_18s0157g00180	NA	NA
M1	biological_process	GO:0000096	sulfur amino acid metabolic process	519	418	1	1	0.805394990366089	1.24162679425837	FALSE	term_background_size_outside_5_to_500	NA	VIT_09s0002g05250	NA	NA
M1	biological_process	GO:0000122	negative regulation of transcription by RNA polymerase II	519	418	1	1	0.805394990366089	1.24162679425837	FALSE	term_background_size_outside_5_to_500	NA	VIT_01s0010g03930	NA	NA
M1	cellular_component	GO:0000139	Golgi membrane	519	418	4	4	3.22157996146435	1.24162679425837	FALSE	term_background_size_outside_5_to_500	NA	VIT_01s0146g00260;VIT_02s0025g04130;VIT_07s0005g00140;VIT_19s0014g02970	NA	NA
M1	cellular_component	GO:0000145	exocyst	519	418	1	0	0.805394990366089	0	FALSE	term_background_size_outside_5_to_500	NA		NA	NA
M1	cellular_component	GO:0000151	ubiquitin ligase complex	519	418	3	2	2.41618497109827	0.827751196172249	FALSE	term_background_size_outside_5_to_500	NA	VIT_05s0094g00930;VIT_09s0018g01220	NA	NA
M1	biological_process	GO:0000154	rRNA modification	519	418	1	1	0.805394990366089	1.24162679425837	FALSE	term_background_size_outside_5_to_500	NA	VIT_03s0038g01050	NA	NA
M1	molecular_function	GO:0000156	phosphorelay response regulator activity	519	418	2	2	1.61078998073218	1.24162679425837	FALSE	term_background_size_outside_5_to_500	NA	VIT_17s0000g07580;VIT_18s0001g02540	NA	NA
M1	biological_process	GO:0000160	phosphorelay signal transduction system	519	418	7	5	5.63776493256262	0.886876281613124	TRUE		0.86247805277329	VIT_09s0002g00540;VIT_09s0002g03520;VIT_17s0000g07580;VIT_18s0001g02540;VIT_19s0085g00050	0.999991099300453	1
M1	molecular_function	GO:0000166	nucleotide binding	519	418	9	8	7.2485549132948	1.103668261563	TRUE		0.450995339253049	VIT_02s0025g04550;VIT_02s0033g01330;VIT_08s0007g01040;VIT_08s0007g06820;VIT_08s0007g07400;VIT_15s0021g01130;VIT_17s0000g08070;VIT_19s0085g00880	0.921750783576463	1
M1	biological_process	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	519	418	1	1	0.805394990366089	1.24162679425837	FALSE	term_background_size_outside_5_to_500	NA	VIT_09s0002g00970	NA	NA
M1	biological_process	GO:0000209	protein polyubiquitination	519	418	2	1	1.61078998073218	0.620813397129187	FALSE	term_background_size_outside_5_to_500	NA	VIT_09s0018g01220	NA	NA
