Module	Aspect	TermID	TermName	Background_N	Module_n	Term_background_K	Overlap_k	Expected_overlap	Fold_enrichment	Tested	Reason_if_not_tested	p_value	Hit_genes	FDR_within_module	FDR_global_module_terms
M9	biological_process	GO:0010431	seed maturation	519	13	7	5	0.175337186897881	28.5164835164835	TRUE		8.55436321066917e-08	VIT_05s0077g01930;VIT_07s0005g03400;VIT_07s0005g03410;VIT_07s0005g03420;VIT_16s0039g00220	4.0764175320157e-05	0.000326113402561256
M9	biological_process	GO:0048609	multicellular organismal reproductive process	519	13	13	6	0.325626204238921	18.4260355029586	TRUE		1.02810026028139e-07	VIT_03s0110g00300;VIT_05s0077g01930;VIT_07s0005g03400;VIT_07s0005g03410;VIT_07s0005g03420;VIT_16s0039g00220	4.0764175320157e-05	0.000326113402561256
M9	biological_process	GO:0021700	developmental maturation	519	13	13	5	0.325626204238921	15.3550295857988	TRUE		4.84539567354857e-06	VIT_05s0077g01930;VIT_07s0005g03400;VIT_07s0005g03410;VIT_07s0005g03420;VIT_16s0039g00220	0.000960599692281005	0.00768479753824804
M9	biological_process	GO:0071695	anatomical structure maturation	519	13	13	5	0.325626204238921	15.3550295857988	TRUE		4.84539567354857e-06	VIT_05s0077g01930;VIT_07s0005g03400;VIT_07s0005g03410;VIT_07s0005g03420;VIT_16s0039g00220	0.000960599692281005	0.00768479753824804
M9	biological_process	GO:0048316	seed development	519	13	29	6	0.726396917148362	8.25994694960212	TRUE		2.34807453135964e-05	VIT_05s0077g01930;VIT_07s0005g03400;VIT_07s0005g03410;VIT_07s0005g03420;VIT_14s0066g00710;VIT_16s0039g00220	0.00372404620673639	0.0297923696538911
M9	biological_process	GO:0010154	fruit development	519	13	32	6	0.801541425818882	7.48557692307692	TRUE		4.31855775111589e-05	VIT_05s0077g01930;VIT_07s0005g03400;VIT_07s0005g03410;VIT_07s0005g03420;VIT_14s0066g00710;VIT_16s0039g00220	0.00570769382772484	0.0456615506217987
