TermID	TermName	OfficialID	OfficialName	Namespace	Official_is_obsolete	Grapedia_label_says_obsolete	Status	Association_pairs
GO:0015157	GO_MF:oligosaccharide transmembrane transporter activity	GO:0015157	oligosaccharide transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	4
GO:0015166	GO_MF:polyol transmembrane transporter activity	GO:0015166	polyol transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015168	GO_MF:glycerol transmembrane transporter activity	GO:0015168	glycerol transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015171	GO_MF:amino acid transmembrane transporter activity	GO:0015171	amino acid transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	11
GO:0015172	GO_MF:acidic amino acid transmembrane transporter activity	GO:0015172	acidic amino acid transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	3
GO:0015174	GO_MF:basic amino acid transmembrane transporter activity	GO:0015174	basic amino acid transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	2
GO:0015175	GO_MF:neutral L-amino acid transmembrane transporter activity	GO:0015175	neutral L-amino acid transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	3
GO:0015179	GO_MF:L-amino acid transmembrane transporter activity	GO:0015179	L-amino acid transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	3
GO:0015180	GO_MF:L-alanine transmembrane transporter activity	GO:0015180	L-alanine transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	2
GO:0015185	GO_MF:gamma-aminobutyric acid transmembrane transporter activity	GO:0015185	gamma-aminobutyric acid transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015186	GO_MF:L-glutamine transmembrane transporter activity	GO:0015186	L-glutamine transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015189	GO_MF:L-lysine transmembrane transporter activity	GO:0015189	L-lysine transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	2
GO:0015193	GO_MF:L-proline transmembrane transporter activity	GO:0015193	L-proline transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015194	GO_MF:L-serine transmembrane transporter activity	GO:0015194	L-serine transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015204	GO_MF:urea transmembrane transporter activity	GO:0015204	urea transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015205	GO_MF:nucleobase transmembrane transporter activity	GO:0015205	nucleobase transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	2
GO:0015207	GO_MF:adenine transmembrane transporter activity	GO:0015207	adenine transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015208	GO_MF:guanine transmembrane transporter activity	GO:0015208	guanine transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015210	GO_MF:uracil transmembrane transporter activity	GO:0015210	uracil transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015215	GO_MF:nucleotide transmembrane transporter activity	GO:0015215	nucleotide transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015216	GO_MF:purine nucleotide transmembrane transporter activity	GO:0015216	purine nucleotide transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015217	GO_MF:ADP transmembrane transporter activity	GO:0015217	ADP transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015220	GO_MF:choline transmembrane transporter activity	GO:0015220	choline transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015227	GO_MF:acyl carnitine transmembrane transporter activity	GO:0015227	O-acyl-L-carnitine transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015250	GO_MF:water channel activity	GO:0015250	water channel activity	molecular_function	FALSE	FALSE	live_primary_id	10
GO:0015267	GO_MF:channel activity	GO:0015267	channel activity	molecular_function	FALSE	FALSE	live_primary_id	17
GO:0015276	GO_MF:ligand-gated monoatomic ion channel activity	GO:0015276	ligand-gated monoatomic ion channel activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015291	GO_MF:secondary active transmembrane transporter activity	GO:0015291	secondary active transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	15
GO:0015292	GO_MF:uniporter activity	GO:0015292	uniporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015293	GO_MF:symporter activity	GO:0015293	symporter activity	molecular_function	FALSE	FALSE	live_primary_id	8
GO:0015294	GO_MF:solute:monoatomic cation symporter activity	GO:0015294	solute:monoatomic cation symporter activity	molecular_function	FALSE	FALSE	live_primary_id	8
GO:0015295	GO_MF:solute:proton symporter activity	GO:0015295	solute:proton symporter activity	molecular_function	FALSE	FALSE	live_primary_id	7
GO:0015296	GO_MF:monoatomic anion:monoatomic cation symporter activity	GO:0015296	monoatomic anion:monoatomic cation symporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015297	GO_MF:antiporter activity	GO:0015297	antiporter activity	molecular_function	FALSE	FALSE	live_primary_id	3
GO:0015298	GO_MF:obsolete solute:monoatomic cation antiporter activity	GO:0015298	obsolete solute:monoatomic cation antiporter activity	molecular_function	TRUE	TRUE	obsolete_by_ontology	1
GO:0015299	GO_MF:obsolete solute:proton antiporter activity	GO:0015299	obsolete solute:proton antiporter activity	molecular_function	TRUE	TRUE	obsolete_by_ontology	1
GO:0015301	GO_MF:obsolete anion:anion antiporter activity	GO:0015301	obsolete anion:anion antiporter activity	molecular_function	TRUE	TRUE	obsolete_by_ontology	1
GO:0015318	GO_MF:inorganic molecular entity transmembrane transporter activity	GO:0015318	obsolete inorganic molecular entity transmembrane transporter activity	molecular_function	TRUE	FALSE	obsolete_by_ontology	57
GO:0015368	GO_MF:calcium:monoatomic cation antiporter activity	GO:0015368	calcium:monoatomic cation antiporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015369	GO_MF:calcium:proton antiporter activity	GO:0015369	calcium:proton antiporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015399	GO_MF:primary active transmembrane transporter activity	GO:0015399	primary active transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	10
