"pathway"	"CS_FruitSet"	"CS_Veraison"	"CS_Harvest"	"PN_FruitSet"	"PN_Veraison"	"PN_Harvest"
"M2"	1.60319701408599e-12	3.28142432389941e-12	0.00231116094076603	0.10692966041948	5.7294283069117e-07	4.83669893443126e-12
"M3"	1.53939506501368e-17	1	1.57468721094839e-10	1.50728703979818e-15	0.530177514792899	1.88951937573562e-20
"M4"	1.22814980780814e-29	4.28937482305328e-27	1.46881487453134e-16	1.03172862981408e-31	1.29661017607083e-15	5.82417838805526e-71
"M5"	2.20602243781186e-17	3.70797544612809e-35	0.0732519422863485	1.04098913740878e-21	1.72092659927667e-29	0.0953020134228188
"M6"	0.0707290533188248	1.56913258488766e-13	7.89259675119835e-09	0.119189511323004	2.90541087789557e-12	3.30739710507029e-10
"M7"	3.33516585240439e-16	2.23789060811672e-06	5.31514705792105e-07	7.25352822582828e-18	7.45587737596342e-12	3.07497826736195e-09
"M8"	4.79627304976356e-05	1	2.99742917617208e-12	0.10062893081761	2.70190575054488e-07	3.77541903592727e-07
"Not.Correlated"	0.000329401434808377	1	6.05695750499099e-07	0.00153434418163445	0.00458603392692566	0.000703249350105949
