"pathway"	"CS_FruitSet"	"CS_Veraison"	"CS_Harvest"	"PN_FruitSet"	"PN_Veraison"	"PN_Harvest"
"M2"	-2.50692835940489	-2.30227805247131	1.44443829651146	-1.19040081503432	1.86745078885184	2.58047915424882
"M3"	-3.48099668125106	-0.554823703210472	2.76995371492526	-3.30048816706318	0.971995352260773	3.71571276976629
"M4"	-4.57196114508762	-3.48393560413801	3.54073808358257	-4.62975968072489	-2.93507572402734	5.82901733306098
"M5"	-3.59310136202793	3.3696824016562	-1.35664469658293	-4.03240726201413	3.22017010868429	-1.31280317973979
"M6"	1.37181897458711	-3.01946820147562	2.88584427114565	1.31024966034959	-2.91180729339588	3.03069978528179
"M7"	-4.14862987419642	2.26011631128884	2.82989774557029	-4.22380524569524	2.67318636040424	3.09931728154644
"M8"	-2.37054575931514	-0.659126232006028	3.68130232507897	1.40448191221572	-2.57895670427625	2.82573293304112
"Not.Correlated"	-2.45553279460044	0.707506110209457	3.08263555377405	-2.19488274195678	-1.91100135520315	2.32540011376116
