Source	URL	SHA256	Version
Grapedia_GO_GMT	https://grapedia.org/wp-content/uploads/2025/04/5.1_on_T2T_ref_GO.zip	e262c7d4cd8c3caac89e985d5e831a91e033b619427c93dff3e07210a98739d4	PN40024_T2T_v5.1
GO_ontology	https://current.geneontology.org/ontology/go.obo	d3593751d885ca160b2ab7baf6c7eccd88ca3c4599f79436c674bad661095ff0	releases/2026-07-26
