Module	Stage	Year	Canonical_CS_minus_PN	HubCore_CS_minus_PN	Same_direction
M1	FruitSet	2012	2.4716548661185342	0.48251735612710434	TRUE
M1	FruitSet	2013	9.346440350860334	3.104214667131762	TRUE
M1	FruitSet	2014	-0.9546033805449312	-0.3571532650655129	TRUE
M1	Veraison	2012	4.898757703377073	1.923384323877401	TRUE
M1	Veraison	2013	1.6087089905998817	1.4720484913862857	TRUE
M1	Veraison	2014	6.132367771205534	2.691725881688013	TRUE
M1	Harvest	2012	-7.233914434548765	-1.697538563403345	TRUE
M1	Harvest	2013	-3.890477793867234	-1.0270320706559453	TRUE
M1	Harvest	2014	-2.0275612632595283	-0.09849985943734652	TRUE
M2	FruitSet	2012	-22.7545308566308	-9.590082203931502	TRUE
M2	FruitSet	2013	-24.065898692207732	-9.85312974439247	TRUE
M2	FruitSet	2014	0.1454859934673678	-0.06767800281381309	FALSE
M2	Veraison	2012	-25.367694802461063	-9.603747770356136	TRUE
M2	Veraison	2013	-25.554204696284533	-9.116215219903797	TRUE
M2	Veraison	2014	-25.1797323148361	-9.182388995054485	TRUE
M2	Harvest	2012	-22.74803068814027	-8.725299978235366	TRUE
M2	Harvest	2013	-20.69322078671798	-8.893686505671237	TRUE
M2	Harvest	2014	-22.055510414076508	-8.823679665267166	TRUE
M3	FruitSet	2012	-0.491602108110051	-0.230845778110766	TRUE
M3	FruitSet	2013	0.43102571633130893	0.19030422116012558	TRUE
M3	FruitSet	2014	-0.18874101059130055	-0.05586314433100181	TRUE
M3	Veraison	2012	-1.679920636440153	0.24886042351398485	FALSE
M3	Veraison	2013	0.39804716267702833	-0.07572342106089236	FALSE
M3	Veraison	2014	-1.8712339696513673	0.005426402208359882	FALSE
M3	Harvest	2012	-0.6141669725795467	0.2884164713713999	FALSE
M3	Harvest	2013	-18.709255899130326	-7.102587799305205	TRUE
M3	Harvest	2014	-1.642273648702968	0.1453588452617316	FALSE
M4	FruitSet	2012	1.6123144042149704	0.49317887730267546	TRUE
M4	FruitSet	2013	2.131440932867041	1.4606860760564087	TRUE
M4	FruitSet	2014	-0.16708517452031924	0.06328005043263196	FALSE
M4	Veraison	2012	1.6713800783095678	1.2618650638160136	TRUE
M4	Veraison	2013	0.9917649690454979	0.6416756172323281	TRUE
M4	Veraison	2014	1.3271581302104778	0.8724913493274511	TRUE
M4	Harvest	2012	-1.3461327120573454	-0.7488841356455218	TRUE
M4	Harvest	2013	0.15082759798846723	-0.3222214895508486	FALSE
M4	Harvest	2014	2.4687951381073656	0.651645647405279	TRUE
M5	FruitSet	2012	-0.20311782588330418	-0.3142990215669845	TRUE
M5	FruitSet	2013	1.8801679863422582	0.20061680790628778	TRUE
M5	FruitSet	2014	0.019263668122279753	0.06866090043572792	TRUE
M5	Veraison	2012	-4.827709414188087	-0.9216913841163759	TRUE
M5	Veraison	2013	-0.952070397119817	-0.00017935071231756083	TRUE
M5	Veraison	2014	-1.594247964276441	-0.2651548227472136	TRUE
M5	Harvest	2012	-25.029160018662147	-8.57926518754142	TRUE
M5	Harvest	2013	-20.923217672735237	-7.412758188206704	TRUE
M5	Harvest	2014	-20.88575423346623	-7.396401328604972	TRUE
M6	FruitSet	2012	8.233379198854436	1.9300573800166658	TRUE
M6	FruitSet	2013	10.435236071161404	2.9980234676513002	TRUE
M6	FruitSet	2014	-0.23029679531228298	0.08339796290989648	FALSE
M6	Veraison	2012	1.229996798147273	0.481646715737458	TRUE
M6	Veraison	2013	2.3412241420374675	0.45837622622189245	TRUE
M6	Veraison	2014	3.220544576473499	1.1054028260977995	TRUE
M6	Harvest	2012	-0.047039616695536246	-0.009380288293709738	TRUE
M6	Harvest	2013	-0.431755975769307	-0.031004490628987025	TRUE
M6	Harvest	2014	-0.8129541977158867	0.06470986865483819	FALSE
M7	FruitSet	2012	-0.6404332775842914	-0.31448239279308177	TRUE
M7	FruitSet	2013	-0.08179728320603319	-0.25031953772730686	TRUE
M7	FruitSet	2014	-0.38296311847243736	-0.15568889613802028	TRUE
M7	Veraison	2012	-2.566758419559261	-1.2235602788922968	TRUE
M7	Veraison	2013	-8.749173486173	-3.444025760821588	TRUE
M7	Veraison	2014	-1.7315569390286982	-0.38207163003282985	TRUE
M7	Harvest	2012	-6.0674422969538915	-1.345423931438769	TRUE
M7	Harvest	2013	-1.3958146286008226	-0.020954825414710943	TRUE
M7	Harvest	2014	0.09917495622289696	0.20731528703036028	TRUE
M8	FruitSet	2012	2.1570282158686673	1.4662277950984013	TRUE
M8	FruitSet	2013	-2.358705270979949	-1.152494518496893	TRUE
M8	FruitSet	2014	-1.2039639265776363	-0.6932849367904461	TRUE
M8	Veraison	2012	0.2501334657911536	0.6921245825086542	TRUE
M8	Veraison	2013	-4.16895033307135	-1.7451244209579568	TRUE
M8	Veraison	2014	0.5468644618723602	0.534433792619662	TRUE
M8	Harvest	2012	-0.5139169727544419	0.16188150729334405	FALSE
M8	Harvest	2013	-0.8124891865643452	-0.07567613572150389	TRUE
M8	Harvest	2014	-1.7946645956867153	0.4483669090920145	FALSE
M9	FruitSet	2012	-0.03294910845071275	0.0336991487722873	FALSE
M9	FruitSet	2013	-5.179711026997825	-1.2232778937808395	TRUE
M9	FruitSet	2014	-0.21458370991158615	-0.2217099293842168	TRUE
M9	Veraison	2012	-0.20124624468579722	0.06619095218646098	FALSE
M9	Veraison	2013	0.8021139251267537	0.40664297790624604	TRUE
M9	Veraison	2014	6.2301377752816265	2.7448200610939244	TRUE
M9	Harvest	2012	0.14111447768084995	0.17478817631790433	TRUE
M9	Harvest	2013	0.7196350731650042	0.5277806233083184	TRUE
M9	Harvest	2014	3.125351349394651	1.5292813853871192	TRUE
M10	FruitSet	2012	-0.28507144320574973	-0.6627935784306063	TRUE
