SampleName	Module	Cultivar	Stage	Year	Canonical_eigengene	Hub_core_PC1
GSM2627781	M2	Cabernet Sauvignon	Harvest	2013	-13.2647462440668	-5.033268978094744
GSM2627782	M2	Cabernet Sauvignon	Harvest	2013	-13.0782525777954	-5.267686939184252
GSM2627783	M2	Cabernet Sauvignon	Harvest	2013	-12.8295508585257	-4.933885877952126
GSM2627784	M2	Cabernet Sauvignon	FruitSet	2014	12.7068071886303	4.128051114664743
GSM2627785	M2	Cabernet Sauvignon	FruitSet	2014	12.7958351944988	4.1858537361359
GSM2627786	M2	Cabernet Sauvignon	FruitSet	2014	10.7616109667279	4.0205159880179
GSM2627793	M2	Cabernet Sauvignon	Veraison	2014	-13.2824033246184	-5.081246410941482
GSM2627794	M2	Cabernet Sauvignon	Veraison	2014	-13.9437827562891	-5.061941411385841
GSM2627795	M2	Cabernet Sauvignon	Veraison	2014	-13.1042055952774	-5.056096678435737
GSM2627820	M2	Cabernet Sauvignon	Harvest	2014	-12.8461748224591	-5.152032278494711
GSM2627821	M2	Cabernet Sauvignon	Harvest	2014	-13.2012555125929	-5.222669108573383
GSM2627822	M2	Cabernet Sauvignon	Harvest	2014	-12.9376041796953	-5.148133648080235
GSM2627823	M2	Pinot noir	FruitSet	2012	11.3226623405649	4.506479545249448
GSM2627824	M2	Pinot noir	FruitSet	2012	11.3952246605911	4.764863045411933
GSM2627825	M2	Pinot noir	FruitSet	2012	10.8721489095361	4.468974743474429
GSM2627835	M2	Pinot noir	Veraison	2012	10.5412585914563	4.219842859005594
GSM2627836	M2	Pinot noir	Veraison	2012	11.2579471724373	4.358248367192298
GSM2627837	M2	Pinot noir	Veraison	2012	10.9185904597099	4.169913313253441
GSM2627850	M2	Pinot noir	Harvest	2012	8.91548706222656	3.6883814495762444
GSM2627851	M2	Pinot noir	Harvest	2012	9.11972514524934	3.657739242322423
GSM2627852	M2	Pinot noir	Harvest	2012	8.52953996196751	3.654682056952527
GSM2627853	M2	Pinot noir	FruitSet	2013	12.0241790040974	4.595117777087916
GSM2627854	M2	Pinot noir	FruitSet	2013	11.229657366168	4.527888223999586
GSM2627855	M2	Pinot noir	FruitSet	2013	12.1312204602427	4.586365004712434
GSM2627862	M2	Pinot noir	Veraison	2013	11.1647522614061	4.092452109789693
GSM2627863	M2	Pinot noir	Veraison	2013	10.4863201705243	4.01976360470586
GSM2627864	M2	Pinot noir	Veraison	2013	11.3760822756274	4.193391771609003
GSM2627883	M2	Pinot noir	Harvest	2013	7.57928973668489	3.8966261275934744
GSM2627884	M2	Pinot noir	Harvest	2013	7.98238237979767	3.758711816501456
GSM2627885	M2	Pinot noir	Harvest	2013	7.34544056328348	3.790879777687656
