Module	Cultivar	Stage	Year	N	Canonical_Mean	Canonical_SD	Canonical_SE	HubCore_Mean	HubCore_SD	HubCore_SE
M1	Cabernet Sauvignon	FruitSet	2012	3	49.23246640519513	1.6957653232101686	0.9790505658378237	16.737771891929196	0.747319666454246	0.43146521059806026
M1	Cabernet Sauvignon	FruitSet	2013	3	47.415839521560635	0.7851124287385957	0.4532848720763491	16.161070765310967	0.2065565714251045	0.11925549211517025
M1	Cabernet Sauvignon	FruitSet	2014	3	40.658635201496736	0.17372828208730165	0.10030207042895485	14.257595029701436	0.07651475967640374	0.044175817096151225
M1	Cabernet Sauvignon	Veraison	2012	3	4.830806878725957	2.24505303738768	1.2961819754807642	3.0817198279765177	0.6318466621700566	0.3647968404904487
M1	Cabernet Sauvignon	Veraison	2013	3	3.1863575258237966	6.665507152684401	3.8483323488877152	2.7458113898641767	2.5499585181421547	1.4722192368717524
M1	Cabernet Sauvignon	Veraison	2014	3	19.100867064246	4.149480066314604	2.395703433283723	8.460758025561981	1.1614148538788402	0.6705431785277783
M1	Cabernet Sauvignon	Harvest	2012	3	-54.33720498506573	3.809020202465452	2.1991388392421514	-20.097574145322795	1.3639007299565815	0.7874484535883595
M1	Cabernet Sauvignon	Harvest	2013	3	-56.249410148333304	0.2964902886100045	0.17117874794109594	-20.470193036025133	0.17801845657536755	0.10277900382451016
M1	Cabernet Sauvignon	Harvest	2014	3	-48.66267105867866	1.0335380133694232	0.5967134502365475	-17.63012626817213	0.31738450903846205	0.18324203172997328
M1	Pinot noir	FruitSet	2012	3	46.7608115390766	2.4224249828201008	1.39858771592286	16.25525453580209	0.7493882778926475	0.43265952396887014
M1	Pinot noir	FruitSet	2013	3	38.0693991707003	1.495148463643933	0.8632243679632802	13.056856098179205	0.2542270623299698	0.14677806287149583
M1	Pinot noir	FruitSet	2014	3	41.61323858204167	2.2703697248296146	1.3107985717903547	14.61474829476695	0.8975313804106083	0.5181899840862011
M1	Pinot noir	Veraison	2012	3	-0.0679508246511163	5.5190163141533395	3.186405554638367	1.1583355040991166	2.1528864950689517	1.2429695974627692
M1	Pinot noir	Veraison	2013	3	1.577648535223915	1.674620591708839	0.9668426494135887	1.273762898477891	0.5453241036243632	0.3148430180231175
M1	Pinot noir	Veraison	2014	3	12.968499293040466	3.6895740299862303	2.1301765594076025	5.769032143873968	1.260068486332011	0.7275008797811509
M1	Pinot noir	Harvest	2012	3	-47.10329055051697	2.378117722376758	1.373006907178841	-18.40003558191945	0.9380580931908027	0.541588092619217
M1	Pinot noir	Harvest	2013	3	-52.35893235446607	1.8160805995820175	1.0485146230387348	-19.443160965369188	0.6708164526579343	0.38729605951888824
M1	Pinot noir	Harvest	2014	3	-46.63510979541913	1.3406610434757533	0.7740310143427708	-17.531626408734784	0.5739523783739087	0.3313715601562021
M2	Cabernet Sauvignon	FruitSet	2012	3	-11.557852219733434	0.632231739946714	0.36501916524846084	-5.009976425886233	0.24002671328412095	0.13857948752728835
M2	Cabernet Sauvignon	FruitSet	2013	3	-12.270879748705033	0.3761608629622084	0.21717657548983296	-5.2833394091258254	0.1225932491013863	0.07077924536951623
M2	Cabernet Sauvignon	FruitSet	2014	3	12.088084449952333	1.1496218607570057	0.6637344907743358	4.111473612939514	0.08390621497106301	0.048443275800225845
M2	Cabernet Sauvignon	Veraison	2012	3	-14.461762727926564	0.5373710222348307	0.3102513043419839	-5.354412923872359	0.14066659284628172	0.08121389524578825
M2	Cabernet Sauvignon	Veraison	2013	3	-14.5451531270986	0.33870341286475947	0.19555050659291384	-5.014346057868946	0.10864272573885939	0.06272490695082515
M2	Cabernet Sauvignon	Veraison	2014	3	-13.443463892061635	0.44235487124249995	0.2553937039891996	-5.06642816692102	0.013161515592893316	0.007598804570500413
M2	Cabernet Sauvignon	Harvest	2012	3	-13.893113298325801	0.14047282680261264	0.0811020243683161	-5.058365728618302	0.08166205165725979	0.04714760750689607
M2	Cabernet Sauvignon	Harvest	2013	3	-13.0575165601293	0.21833745148405762	0.12605718638849753	-5.078280598410374	0.17139230318921	0.09895339238332036
M2	Cabernet Sauvignon	Harvest	2014	3	-12.995011504915766	0.18436994025111622	0.10644603463445718	-5.174278345049443	0.0419529417991107	0.024221542241013267
