"modules"	"GSM2627691"	"GSM2627692"	"GSM2627693"	"GSM2627709"	"GSM2627711"	"GSM2627713"	"GSM2627739"	"GSM2627740"	"GSM2627741"	"GSM2627742"	"GSM2627743"	"GSM2627744"	"GSM2627754"	"GSM2627755"	"GSM2627756"	"GSM2627781"	"GSM2627782"	"GSM2627783"	"GSM2627784"	"GSM2627785"	"GSM2627786"	"GSM2627793"	"GSM2627794"	"GSM2627795"	"GSM2627820"	"GSM2627821"	"GSM2627822"	"GSM2627823"	"GSM2627824"	"GSM2627825"	"GSM2627835"	"GSM2627836"	"GSM2627837"	"GSM2627850"	"GSM2627851"	"GSM2627852"	"GSM2627853"	"GSM2627854"	"GSM2627855"	"GSM2627862"	"GSM2627863"	"GSM2627864"	"GSM2627883"	"GSM2627884"	"GSM2627885"	"GSM2627886"	"GSM2627887"	"GSM2627888"	"GSM2627895"	"GSM2627896"	"GSM2627897"	"GSM2627919"	"GSM2627920"	"GSM2627921"
"M1"	4.57602647720644	4.57074666588934	4.41581544738169	3.60903116490765	3.57754465474427	3.65442159955719	2.51355972493707	2.41605785302899	2.37612006942855	4.55137584351517	4.44855494110423	4.58053843264124	3.84416976400788	3.61236021434971	3.49655583627329	2.46282016213089	2.45847426683165	2.44308693436551	4.1708622096799	4.1482876500303	4.21685413481748	4.0796172874032	3.93777525363612	4.01971165319448	2.65863008458824	2.61913956420938	2.59694883983476	4.42596851781734	4.58078229760683	4.34507494701803	3.62569687262661	3.62685252674996	3.46481734300974	2.65326017674899	2.62187629227411	2.51534688584893	4.34658450291081	4.30366467394851	4.14162693359058	3.57371815653319	3.58287218595169	3.57506439939362	2.577540956897	2.57997100517266	2.54898536931509	4.10545011817459	4.32197909244502	4.15551465255697	3.94023788917958	3.86646886860536	3.8065850706479	2.63970722577068	2.55372110817922	2.62561442207832
"M10"	2.91967024559528	3.05507385873743	2.80691843961963	5.73592582358038	5.54914277261928	5.46769507153988	4.09358010095792	4.39198459652086	3.75969684160047	3.26135406247811	2.95906893196936	3.70762598660845	5.63441531748523	5.87008971053958	5.94329666779768	4.20684846685236	4.02809774762481	3.74230084801994	2.64331839515142	2.70877617066914	2.84735914406082	4.99684317578221	5.14461845179428	5.2563345843939	4.80456295489124	4.68586133005963	4.48095969282348	2.91454461122665	3.36446954229248	2.61620902036838	6.40877815104176	6.07952508794327	6.32119396088188	5.43981495036317	5.31353126394352	5.08286637112358	3.00566525138201	3.13860317305346	2.79795905997899	6.20837196227487	6.44337676077838	6.16670615667794	4.85609014513934	5.05453382518093	4.84952650053212	2.63284493430586	2.95182624055349	2.76348281835272	5.42633640321884	5.83637548514422	5.7278148511164	5.07948265127114	4.89228977839948	5.11166109978737
"M2"	2.33695935311526	2.51217317358641	2.26706818971898	2.39785778355474	2.32484355848649	2.36075929632939	2.02185348144494	1.99063580606692	2.00862551966188	2.48145871312709	2.42500814149117	2.6205096257136	2.46794013311183	2.3660865002163	2.37878396151238	1.89090245090606	1.90029690982425	1.94120499596842	2.66258725183455	2.72306125524209	2.91660671735398	2.44593641433894	2.3631051174976	2.3253153950854	2.0123763332077	1.98757670345186	1.99824041481985	2.94576994692372	2.8731202404371	2.85955610401541	2.84170444624511	2.8710143116233	2.85845772954452	2.57055906068975	2.55751626689333	2.54402293840141	3.07301888973903	2.99662320474885	2.99091459361701	2.82875449010539	2.76015529428971	2.8067909361715	2.49585268548004	2.54355509999599	2.42283392927328	2.62473855610298	2.7489211181281	2.91423106905521	2.73192570593313	2.69404739974802	2.75614369628819	2.35787350397646	2.35430047860559	2.33062204564657
"M3"	4.56668967530463	4.58703388525591	4.4429839613162	4.31796384606967	4.25947475288541	4.02245171922081	4.23794903046352	3.96069364968629	4.11894377696862	4.11672172707121	3.98268064636993	4.11040957860899	4.367194033702	4.34221484330627	4.42294284479735	1.39191985940138	1.36561345489432	1.36103962414351	1.19079786518821	1.19829695414772	1.24156327081143	1.25858867508507	1.22973770823601	1.18856317211744	1.35163773845314	1.3210693531068	1.40899876977791	4.73625572879147	4.49007818658261	4.61366685469157	4.5114422955729	4.47734712595603	4.69186476737735	4.26919525447638	4.22251053776104	4.18298838996735	4.06397351754125	4.01424347600588	3.87903760295971	4.14317368031116	4.19429410309012	4.38757595946704	4.18692331434629	4.26469777666989	4.33941539955334	1.18883268817379	1.30300349104933	1.22879595303296	1.6213927291276	1.67982013502289	1.60562067954783	1.58290536971029	1.71532707389085	1.64910396173636
"M4"	3.53443877013996	3.54071436583492	3.38480819133353	5.56783249895006	5.49914750086008	5.5509053419722	2.88284683927955	2.92187093384387	2.49192854385931	3.94278888649941	3.86509009786199	4.16076157085454	5.43915841371914	5.53046770490578	5.59348491435613	2.68045360065845	2.50771252450181	2.40907160464868	3.47789672570439	3.53031520259705	3.60568986675728	5.13400995941551	5.15612097458918	5.32087943030953	3.16538599361066	3.11864253247558	2.84071730669415	3.18956134143516	3.60785008679344	3.18945509492798	5.45445364544486	5.35437976231605	5.33180483965704	3.24753277478311	3.10845935488321	2.79332855915132	3.72960477286773	3.63846413857657	3.53143261941979	5.28181539690593	5.38209716736091	5.28060368967802	2.60514486504751	2.74630679096763	2.56113632136424	3.42117844201027	3.66789248792679	3.57809264301781	4.90187110150568	5.02763098368797	4.97236869273004	2.93205153704395	2.71348096059306	2.89476302803271
"M5"	0.826278526165938	1.93930208961142	0.941235100942899	0.727759355031839	0.788245367792285	0.714040441606661	1.27523721910438	1.04073370780353	1.67966511588996	1.20194526700092	1.52182888389139	1.7206370637436	1.05471876316104	0.816494150268108	1.09849349433612	1.54946437181562	1.65692479796425	1.44850380815505	0.868936192163051	0.806866830803061	0.887283920661216	0.892774566154242	0.778512320837275	0.894417312725002	1.0713377916697	1.15753659731453	1.19247239474092	1.66464355683908	1.10019680471408	1.03304164235431	1.00790976580464	0.905897585067561	2.35091383479885	4.98380564306881	5.15523872079713	4.73582148161817	1.13775621486407	1.03721471436744	1.19151647321626	0.923762002256947	1.08708366540984	1.059459745891	4.32108948034573	4.61286131064111	4.67710324587153	0.787259337958446	0.921364877017205	0.863503602275086	1.05294701239357	1.04389117989242	1.02570186825863	3.98138294721932	4.30365926497131	4.17552159451347
"M6"	5.30412732532919	5.08700513294511	5.12963496686938	1.84087237544089	1.74690436119469	1.72433328443022	1.14961214729802	1.08725207120053	1.051501122124	3.57952688811741	3.59183960447968	3.90647976100703	2.07282166489767	1.82049697072474	1.75055631449922	1.12540972223382	1.16233861916436	1.09534437346842	1.87647721941696	1.86666033551504	2.03697311535481	2.29790853240679	1.88238898874205	2.18041905850973	1.29301351281454	1.16655174815967	1.16647946388667	3.60956072664077	3.87291892493713	3.50175709985169	1.6604444802811	1.54669813299612	1.61990537905985	1.26882925320406	1.34172628400255	1.25543950115301	1.99151753286402	1.89144976612887	1.83128835554353	1.4466931902951	1.53409929565386	1.49267227993678	1.33810345496562	1.30558407372495	1.42129486669616	1.83879807469255	2.13137894184608	1.92413767215935	1.5524986780841	1.51021030242971	1.42531150713557	1.43692150377949	1.40065555348015	1.43021732261887
"M7"	2.54890934882268	4.06849251722155	2.34363654595165	3.67531722782256	3.63736855299018	3.97417836577025	2.322459098593	2.56062118091307	2.1052522154147	4.58264163106507	3.7197593404856	5.26557270253625	3.71904145861249	3.00637561358648	3.23897623546042	2.16003383382266	2.17254448435303	2.14832836246858	6.20245869717265	6.27525192489458	6.35772192339456	4.45647907399191	3.86504139069042	3.83814604470364	2.87663931130828	2.70540501455731	2.91246083811197	2.73141783239545	4.22196586765661	2.86870894693883	4.35136830492051	4.60615355887265	4.18372297437841	3.67613162381429	3.69319349787182	3.17903419055997	5.73843611509866	4.45337305627551	3.61345992367584	4.69174737252676	4.86113998633659	5.11209027443036	2.37308261552451	2.26636498487461	2.4192284771211	6.27768365344573	6.48203880020233	6.27620077799732	4.31709606355769	4.46374266065775	4.61966305013677	2.72017766028047	2.52594632771746	3.13217517639649
"M8"	5.51288328740185	6.30361598522476	6.8542200352107	2.02297698561006	2.59270294259207	2.71886424414292	2.62057019497639	2.56427899280738	2.37934242308906	1.95516510066142	2.17409938778936	1.93644131797932	1.56432439431366	1.59673998349642	1.60709289911764	2.44075820153638	2.68828181721691	2.70618440392325	1.75942682649518	1.80467024192939	2.08826023401539	1.6755193284565	1.73790822843294	1.82851015607596	2.7703316434601	2.57753266377657	2.48246412138121	5.81113810329293	4.87214449808564	6.22955868345569	2.42852657135462	2.41713996803542	2.16695500560785	2.34189398392085	2.47113956228846	2.73222366104172	2.46977670548372	2.45335436449827	2.53367263883482	2.0845758065952	2.8497866979145	2.35111937863028	2.86562997224299	2.73683460900342	2.74764767869807	2.44572442000972	1.75336867328895	2.31282038328276	1.5104155226293	1.67069389987167	1.63635170635105	3.1645591542389	2.9328954384837	2.96107773766124
"M9"	0.534583783985869	0.493094746313141	0.628951793483655	0.218168997549519	0.306287546786545	0.398814621709681	0.59571588719987	0.487031708370707	0.703222022978991	5.77776016228445	1.37209633487199	1.26704149580956	0.522171743836171	0.300725525135527	1.09908520494197	1.25206294001538	0.986423522560733	1.499887214994	1.61328756309781	1.86964986181138	1.39631577835199	1.13156312122608	4.26903064178066	4.83706973843133	1.44444411525752	0.519336879893715	2.03887588790471	0.615843215915835	0.493164568992515	0.636518759318324	0.461422245773949	0.261609450537992	0.391999116953096	0.655293955535899	0.459388407883362	0.633249522406444	4.30816591514589	7.37522555292936	0.690493255963398	0.460947311997736	0.437964348849485	0.330102994822721	1.29018010410315	1.29678705319821	0.635295112732208	1.62794045166622	2.04155495439889	1.36857652469199	0.547281440109924	3.14484357699452	1.61445998773455	0.442960798574443	0.423209307725892	0.801159396437751
