"pathway"	"CS_FruitSet"	"CS_Veraison"	"CS_Harvest"	"PN_FruitSet"	"PN_Veraison"	"PN_Harvest"
"M10"	-0.723023082809464	0.5985374289546	0.466294337652733	-0.763149753610827	0.763205727814176	0.595302243336115
"M2"	-0.270246654956802	-0.404522900496424	0.189757189251706	0.152833804711561	0.400949131425783	0.316824083666431
"M3"	-0.49289636627113	-0.0775830297151317	0.277763748260642	-0.401625591510834	0.297902968058175	0.552803371810484
"M4"	-0.47970678445786	0.766244223216492	-0.216608349380001	-0.570414435911401	0.717858329058167	-0.238811771125094
"M5"	-0.594645569423598	-0.685238993549307	0.509995597812732	-0.627953943770447	-0.590367912408466	0.870819116220692
"M6"	0.598141880456536	-0.242807975500398	0.370047350387588	0.146791072232578	-0.562015170526609	0.380091643268575
"M7"	-0.402870493991989	-0.262053581269653	-0.296920924922808	0.340627937184158	0.506738656914683	0.347184899020722
"M8"	-0.351318498111444	-0.677846624807335	0.523377306238172	0.307285303536836	-0.623162585117912	0.544462772914883
"M9"	-0.424958508935254	-0.159574468085106	0.518404540472294	0.313098706104657	-0.547984186149489	0.525598404255319
"Not.Correlated"	-0.457019745727925	-0.185671463719503	0.615575438942035	-0.413441841477158	-0.287300892299418	0.514533912462412
