"modules"	"GSM2627691"	"GSM2627692"	"GSM2627693"	"GSM2627709"	"GSM2627711"	"GSM2627713"	"GSM2627739"	"GSM2627740"	"GSM2627741"	"GSM2627742"	"GSM2627743"	"GSM2627744"	"GSM2627754"	"GSM2627755"	"GSM2627756"	"GSM2627781"	"GSM2627782"	"GSM2627783"	"GSM2627784"	"GSM2627785"	"GSM2627786"	"GSM2627793"	"GSM2627794"	"GSM2627795"	"GSM2627820"	"GSM2627821"	"GSM2627822"	"GSM2627823"	"GSM2627824"	"GSM2627825"	"GSM2627835"	"GSM2627836"	"GSM2627837"	"GSM2627850"	"GSM2627851"	"GSM2627852"	"GSM2627853"	"GSM2627854"	"GSM2627855"	"GSM2627862"	"GSM2627863"	"GSM2627864"	"GSM2627883"	"GSM2627884"	"GSM2627885"	"GSM2627886"	"GSM2627887"	"GSM2627888"	"GSM2627895"	"GSM2627896"	"GSM2627897"	"GSM2627919"	"GSM2627920"	"GSM2627921"
"M1"	0.175769189035303	0.169899745908572	0.164064354400805	0.0101021002564575	0.0146977957600628	0.0252163485529725	-0.182126815131963	-0.177944296642721	-0.202514601540515	0.160609901840743	0.165827185942186	0.164487572530535	0.036356538170023	0.0051612181662753	-0.00852748342779617	-0.193003708552427	-0.194375375412178	-0.195004837706684	0.140691564031096	0.14064235530316	0.139629346876132	0.0821281347418943	0.0549753712518202	0.0606592410086562	-0.165014609908829	-0.166902753581197	-0.171916492463625	0.15772693850555	0.1709461599681	0.155469663785462	0.0024710186668434	0.0173152901225769	-0.0204898444822762	-0.156940732784447	-0.158766818465286	-0.171981101877329	0.135839247180833	0.12573070190724	0.132585401630022	0.00843304618449829	-0.00121701614586307	0.00911831264228228	-0.18226351968067	-0.173800105429203	-0.186039843685687	0.139693586037069	0.152637673983357	0.138515588238848	0.059433167680501	0.036646701088132	0.0381907921423929	-0.157459722633282	-0.166196034886865	-0.15918553910156
"M10"	-0.178711278433742	-0.169512855565602	-0.177571041121252	0.143278284794547	0.13930120376409	0.124753927901335	-0.0396973326504629	0.00585573037549966	-0.0752768482554639	-0.139979829506748	-0.164682746843986	-0.112007955390587	0.13812766336587	0.162070641141406	0.164529805820327	-0.0326902072278618	-0.0591872337522661	-0.07159290871745	-0.1848794749601	-0.180412511349174	-0.169937034325317	0.0645750621485386	0.0910410973408757	0.0964347163751407	0.014725492894602	0.0071582391791404	-0.0099035038048554	-0.174544945593761	-0.136188698996302	-0.193403082944159	0.207854071678314	0.184306019914207	0.19918419566483	0.09630256531612	0.091345999772471	0.0709488161091256	-0.151329964401505	-0.147124440857283	-0.17094882542246	0.199320876016779	0.221566728493602	0.190851608598308	0.017408837621946	0.0437093890721427	0.01498027005177	-0.191442156343666	-0.160830515293156	-0.173372253368637	0.108525093237285	0.149394374910431	0.148127447127233	0.0607850205974414	0.0416370878865961	0.0671273779558255
"M2"	-0.130885875371153	-0.124786972729555	-0.139131122265274	-0.169821187809517	-0.166272830152352	-0.157904454671986	-0.158790377662989	-0.156378820044754	-0.159404813678072	-0.135938307233221	-0.144371122383309	-0.138850804704582	-0.162332634796636	-0.169862851346361	-0.164651514059613	-0.15103655314417	-0.148913077879843	-0.146081282250407	0.14468368440118	0.145697385145414	0.122535071292459	-0.151237602190723	-0.158768275438594	-0.149208587061254	-0.146270567907735	-0.150313627800407	-0.147311611190362	0.128923377867041	0.129749595157839	0.123793690912179	0.120026070168291	0.12818651070424	0.124322488940567	0.101514526603362	0.10384004535155	0.0971200121025518	0.13691106620149	0.127864394114189	0.138129873729523	0.127125364273413	0.119400524109583	0.129531633970292	0.0863001655702177	0.0908899045892178	0.0836374856774938	0.13965712263586	0.146145267729769	0.122144103279327	0.134522869200219	0.12925285803897	0.137122751345015	0.102521761702569	0.102537728502842	0.104437540456206
"M3"	0.134887273352813	0.133511848091597	0.121573710005207	0.109641733715617	0.105806747266657	0.0866535991381595	0.10293253509431	0.0829457121679969	0.0947508505131576	0.0968040801904057	0.0895974909800306	0.0931182181190317	0.108230063754811	0.107955543759479	0.112156629076242	-0.168279100801667	-0.171199973532539	-0.171900286468989	-0.183384832942154	-0.181790096344184	-0.178234379983369	-0.178261656450267	-0.178182373302207	-0.183357477540283	-0.174240695018432	-0.176534826962179	-0.172058617809168	0.146901871629004	0.129736832446927	0.134995268927191	0.121106235408774	0.117747193464535	0.137269893435202	0.105720834065994	0.102699398127706	0.0992705024443044	0.0909804403074987	0.0877425526716059	0.0818047926134162	0.0970109712411417	0.103940324017594	0.10985205003439	0.0994610539537618	0.104914490008487	0.108618778150252	-0.181927931949954	-0.175329095390725	-0.177835910457214	-0.154420620115113	-0.149401602886021	-0.15352832806572	-0.153876303142567	-0.146284643335003	-0.150310765675546
"M4"	-0.0633407233658243	-0.0692402684624041	-0.0802186894252916	0.209807230338643	0.20109506518213	0.204269238189072	-0.125695864743627	-0.103403664712783	-0.175033958105962	0.00586738611638722	0.00508090100177598	0.0264780194891726	0.182526843750437	0.199757086603318	0.203784619782345	-0.153153323421427	-0.176923496414381	-0.185528865970277	-0.0307194307900251	-0.0239315191223146	-0.0194853649161489	0.150853076393308	0.163019170491847	0.171815328354244	-0.093622070073785	-0.098783604303979	-0.125061820709398	-0.113531207581417	-0.0601568013406956	-0.112140325116144	0.191801703100161	0.184916361244127	0.162749478201612	-0.0937795241872334	-0.10666291828291	-0.142718905803503	-0.0106801814222278	-0.0234974680026401	-0.0249381696292672	0.178539972091602	0.185189845384914	0.177417432335563	-0.178965645415234	-0.152870002236837	-0.190601668669164	-0.0344706872247705	-0.0115969950530901	-0.0205006264820702	0.132894566649656	0.146050894802573	0.146629414906476	-0.132509795219314	-0.159708953645476	-0.137071094559742
"M5"	-0.0761928878427438	0.0324381993245845	-0.0693558802363429	-0.10270631164781	-0.095006347692525	-0.105415975752665	-0.0428843954102762	-0.0624992372372787	-0.00191005124908626	-0.0546246329693696	-0.0332285182146581	-0.0143082667432272	-0.071992509692729	-0.0939832431123189	-0.0708325933622878	-0.0155231521621683	-0.00138356160540864	-0.0237482212667898	-0.0887105632502433	-0.0935805175370276	-0.0875106112786279	-0.0853690039977548	-0.0978564671637751	-0.088026241832756	-0.0580231713251565	-0.0521324652721256	-0.0476309312940615	0.00587645565114116	-0.0562210974494336	-0.0537914950231681	-0.0658698650475427	-0.0759512637778702	0.0519970096788278	0.329377184998094	0.348453685457548	0.320748315012197	-0.0598490750717837	-0.0679480490526552	-0.0574364689934011	-0.0766683681152345	-0.0594391601186015	-0.0586351305067201	0.274536324109048	0.29970258995888	0.309564612421503	-0.0949323159306324	-0.0849309897878522	-0.0907895203017695	-0.0666789905270568	-0.0656367175653227	-0.0684967424808617	0.238992517605976	0.269041457688606	0.256982656992713
"M6"	0.417125941234977	0.386443025935664	0.40090841860661	-0.0407549551678701	-0.0473291614165752	-0.0521130163255619	-0.0945124967284148	-0.107517542468633	-0.0941192386447017	0.201691073714166	0.205169044753544	0.215978454954161	-0.0152263167814453	-0.0399323322368752	-0.0511170617206	-0.0951467623293688	-0.0839583789335718	-0.0879471504179597	-0.00969607590092587	-0.0128864586218594	0.00378087412804048	0.00988230979868378	-0.0249402514297663	-0.00437557182511758	-0.0897276709139836	-0.0999103721889408	-0.0971150606393715	0.247930799976298	0.249222089179528	0.230860515091402	-0.0657678464123593	-0.074679733282198	-0.0709292180359377	-0.100041022822823	-0.0943850136514358	-0.0990010683059697	0.0123340108251365	0.00845221146360897	-0.00183264026421765	-0.0844545324850996	-0.0782710007831629	-0.0790363429231848	-0.0810587288910698	-0.0883069933989209	-0.0727009387894365	-0.0134604109520871	0.015868956438453	-0.00788297712388801	-0.0620572210717831	-0.0668563126067061	-0.076892240126779	-0.0793326603200232	-0.0798406254764918	-0.0805343236851562
"M7"	-0.14245713448791	-0.00588521586316748	-0.169444411794256	-0.0134134836609659	-0.0200399443924938	0.0261633385868959	-0.173113886779082	-0.121080664949477	-0.179570102819071	0.0839503151156478	-0.00210623449281237	0.142937433408308	-0.0092472553210829	-0.0857104547789159	-0.0751632897976402	-0.17898764125433	-0.179488455183679	-0.183181277497234	0.261942620902035	0.257341856478908	0.267465338033574	0.0849256569908289	0.0151901343378546	0.0253247696889659	-0.107402513360948	-0.10480894765546	-0.101996230373306	-0.147345516444638	0.00956080517108525	-0.139054847274154	0.056231851661892	0.0778094492763986	0.0227787257778317	-0.0161167267446942	-0.0149490076438901	-0.0547665566389046	0.188284728923625	0.052881262632167	-0.0111546274740643	0.09879043311314	0.142059994258798	0.14842203429541	-0.149729602559072	-0.155183972133034	-0.147499989181532	0.255632607555784	0.287123184302099	0.268479429501846	0.0805833035872118	0.068532459283409	0.0870348705385436	-0.108514520970271	-0.130699326069242	-0.0813347658269297
"M8"	0.318889972358899	0.382612303770211	0.450919144671192	-0.0885079731451868	-0.02307646811943	0.00129625397531491	-0.0232544940521739	-0.033295067929119	-0.0513086922770241	-0.0828676480793013	-0.0595041665564148	-0.0891742837169045	-0.125192543513472	-0.117295972881902	-0.119351210507745	-0.0273789730933474	0.000873743739402322	0.000430769320640797	-0.096545069533115	-0.0916748650612219	-0.0648914474416291	-0.111181603545314	-0.106644015133679	-0.0898740721370303	0.00903921384269192	-0.014988927464082	-0.0263242572556147	0.352955401637435	0.246070129395818	0.401411456631294	-0.0310574321642997	-0.0362997373058807	-0.06055544791553	-0.0423999597075394	-0.0229004367345331	-0.00634721429832337	-0.0263148397010026	-0.0266245654990429	-0.0124120736724441	-0.0619449913946256	0.0292044541135114	-0.0353545142016254	0.0219852972734714	0.00491269748951239	0.00427561805711622	-0.0267238377310204	-0.0997666158958357	-0.0417895045312799	-0.124142071960604	-0.106718772656817	-0.115370973237234	0.0462754367985168	0.0241632955795219	0.0237395513967954
"M9"	-0.06875240333243	-0.072989037498673	-0.059898704824983	-0.0989122853778885	-0.0912998651264835	-0.0824794976315154	-0.0627381952884395	-0.075086537232657	-0.0517570576288843	0.437039012378371	-0.000433123917760552	-0.0170522783897095	-0.0723128460480362	-0.0908083990695544	-0.0274590445704674	-0.00102068509328865	-0.0268191940027859	0.0214613028117324	0.0173783394637963	0.0418764417916851	-0.000388487672371931	-0.0309001681412483	0.265684653195058	0.325256345494508	0.0197775502625456	-0.0707403996640359	0.0766937276231033	-0.0639278288551055	-0.0732655190794037	-0.0619609513303353	-0.0765776445656994	-0.0976083617444329	-0.0833226133729057	-0.0590511042004909	-0.0785003958039967	-0.0626766757865397	0.290916726623652	0.583444117797519	-0.0640237937785902	-0.0785228932545757	-0.0809138390785851	-0.0916590644474165	-0.00153339819223286	0.00183289004362371	-0.0609709559786421	0.019351826262018	0.0588342682436507	-0.00313052703974808	-0.0731926243537154	0.155132488115579	0.00806805136505759	-0.0787484665697469	-0.0810174460399459	-0.0502954274885782
