SampleName	M1	M10	M2	M3	M4	M5	M6	M7	M8	M9
GSM2627691	50.9298737701087	-7.05666671497361	-11.4950181766504	9.18384672022022	-4.19527774764559	-5.17340835894435	21.6240231014206	-6.68428719469223	13.5774694936294	-2.73387414640159
GSM2627692	49.2291775378173	-6.6934540232356	-10.9593836284305	9.09020041497473	-4.58602526282578	2.20251596029912	20.0334050082689	-0.276142526477007	16.2905934103208	-2.90233988801137
GSM2627693	47.5383479076594	-7.01164283757351	-12.2191548541194	8.27738814896162	-5.31316449841496	-4.70918350407178	20.7832983962504	-7.95056783951124	19.1989132978319	-2.38181521789389
GSM2627709	2.92712672623832	5.65754501981842	-14.9145019286093	7.46499541101757	13.8962670137389	-6.97363896078825	-2.11275781467388	-0.629379338518286	-3.76842926866721	-3.93315326663718
GSM2627711	4.25874914066196	5.50050436980267	-14.6028683344517	7.2038890305124	13.3192298301905	-6.45082037472734	-2.45356804425253	-0.940302106781898	-0.982533378502329	-3.63045259134248
GSM2627713	7.30654476927759	4.92608467858936	-13.8679179207187	5.89984030708903	13.5294664153696	-7.15762199814107	-2.70156554054706	1.22762029234573	0.0551909759833889	-3.27971903895072
GSM2627739	-52.7720231044586	-1.56750513142145	-13.9457238784344	7.00819729936455	-8.32527695151864	-2.91180051006465	-4.89957638831408	-8.12274471742255	-0.990113239521518	-2.49472486454963
GSM2627740	-51.5601204958878	0.231221767281708	-13.7339294538867	5.64738753861467	-6.84878653957109	-4.24362542890255	-5.57376464112068	-5.68127346626711	-1.41761362313134	-2.98574497666109
GSM2627741	-58.6794713548508	-2.97241245291309	-13.9996865626563	6.45114447118587	-11.5931115166342	-0.129690255584347	-4.87918968720922	-8.42567936760621	-2.18458485538479	-2.05807033481083
GSM2627742	46.5374055138623	-5.52730086374586	-11.9387466991214	6.59093932483327	0.388617513392831	-3.70894896898065	10.455768884651	3.93906572903534	-3.52827953630106	17.37844204708
GSM2627743	48.0491358812133	-6.50273037252788	-12.6793565101932	6.10027620266781	0.336525852217355	-2.25617769261933	10.6360686902178	-0.0988274564129955	-2.53352590608989	-0.0172227620208182
GSM2627744	47.6609771696063	-4.42279198909117	-12.1945360368005	6.33998612922058	1.75373188151169	-0.971514650083735	11.1964340685945	6.70682348909955	-3.79679896431434	-0.678067685888145
GSM2627754	10.5344623245978	5.45416547312322	-14.2568216956905	7.36888137284831	12.08939155165	-4.8882075738414	-0.789340084811616	-0.43389410120426	-5.33035870588923	-2.87545177595548
GSM2627755	1.49548502300764	6.39958769720865	-14.9181610179646	7.35019058389475	13.2306108271189	-6.38135276512267	-2.07011261929014	-4.02165393393183	-4.99414416122565	-3.61090990946159
GSM2627756	-2.47087477013405	6.49669128064485	-14.4604766676407	7.6362229326012	13.4973684425362	-4.80945060571116	-2.64993474213184	-3.52676626068139	-5.08165060101937	-1.09188287823358
GSM2627781	-55.9236494614753	-1.29081890786195	-13.2647462440668	-11.4573408562919	-10.1438805177044	-1.05400395531243	-4.93245704293569	-8.39834945961254	-1.16572236245629	-0.040586575201846
GSM2627782	-56.3210957966677	-2.33709134662051	-13.0782525777954	-11.6562094877263	-11.7182622505917	-0.0939422218686623	-4.35244549941488	-8.42184834681745	0.0372016369132738	-1.06643982693998
